央视,#genre#
CCTV1,http://49.83.225.47:4022/rtp/239.49.8.129:6000
CCTV2,http://49.83.225.47:4022/rtp/239.49.8.130:6000
CCTV3,http://49.83.225.47:4022/rtp/239.49.9.31:6000
CCTV4,http://49.83.225.47:4022/rtp/239.49.8.131:6000
CCTV5,http://49.83.225.47:4022/rtp/239.49.9.32:6000
CCTV5,http://49.83.225.47:4022/rtp/239.49.8.137:6000
CCTV6,http://49.83.225.47:4022/rtp/239.49.9.33:6000
CCTV7,http://49.83.225.47:4022/rtp/239.49.8.132:6000
CCTV8,http://49.83.225.47:4022/rtp/239.49.9.34:6000
CCTV9,http://49.83.225.47:4022/rtp/239.49.8.133:6000
CCTV10,http://49.83.225.47:4022/rtp/239.49.8.134:6000
CCTV12,http://49.83.225.47:4022/rtp/239.49.8.135:6000
CCTV13,http://49.83.225.47:4022/rtp/239.49.9.43:6000
CCTV14,http://49.83.225.47:4022/rtp/239.49.8.136:6000
CCTV1,http://49.83.225.47:4022/rtp/239.49.1.1:6000
CCTV2,http://49.83.225.47:4022/rtp/239.49.1.2:6000
CCTV3,http://49.83.225.47:4022/rtp/239.49.1.3:6000
CCTV4,http://49.83.225.47:4022/rtp/239.49.1.4:6000
CCTV5,http://49.83.225.47:4022/rtp/239.49.1.5:6000
CCTV6,http://49.83.225.47:4022/rtp/239.49.1.6:6000
CCTV7,http://49.83.225.47:4022/rtp/239.49.1.254:6000
CCTV8,http://49.83.225.47:4022/rtp/239.49.1.8:6000
CCTV10,http://49.83.225.47:4022/rtp/239.49.1.10:6000
CCTV11,http://49.83.225.47:4022/rtp/239.49.1.11:6000
CCTV12,http://49.83.225.47:4022/rtp/239.49.1.12:6000
CCTV13,http://49.83.225.47:4022/rtp/239.49.1.13:6000
CCTV14,http://49.83.225.47:4022/rtp/239.49.1.14:6000
CCTV15,http://49.83.225.47:4022/rtp/239.49.1.15:6000
CCTV17,http://49.83.225.47:4022/rtp/239.49.1.7:6000
CCTV1,http://121.234.169.87:8889/rtp/239.49.8.129:6000
CCTV2,http://121.234.169.87:8889/rtp/239.49.8.130:6000
CCTV3,http://121.234.169.87:8889/rtp/239.49.9.31:6000
CCTV4,http://121.234.169.87:8889/rtp/239.49.8.131:6000
CCTV5,http://121.234.169.87:8889/rtp/239.49.9.32:6000
CCTV5,http://121.234.169.87:8889/rtp/239.49.8.137:6000
CCTV6,http://121.234.169.87:8889/rtp/239.49.9.33:6000
CCTV7,http://121.234.169.87:8889/rtp/239.49.8.132:6000
CCTV8,http://121.234.169.87:8889/rtp/239.49.9.34:6000
CCTV9,http://121.234.169.87:8889/rtp/239.49.8.133:6000
CCTV10,http://121.234.169.87:8889/rtp/239.49.8.134:6000
CCTV12,http://121.234.169.87:8889/rtp/239.49.8.135:6000
CCTV13,http://121.234.169.87:8889/rtp/239.49.9.43:6000
CCTV14,http://121.234.169.87:8889/rtp/239.49.8.136:6000
CCTV1,http://121.234.169.87:8889/rtp/239.49.1.1:6000
CCTV2,http://121.234.169.87:8889/rtp/239.49.1.2:6000
CCTV3,http://121.234.169.87:8889/rtp/239.49.1.3:6000
CCTV4,http://121.234.169.87:8889/rtp/239.49.1.4:6000
CCTV5,http://121.234.169.87:8889/rtp/239.49.1.5:6000
CCTV6,http://121.234.169.87:8889/rtp/239.49.1.6:6000
CCTV7,http://121.234.169.87:8889/rtp/239.49.1.254:6000
CCTV8,http://121.234.169.87:8889/rtp/239.49.1.8:6000
